"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.id"
"1",0.638,0.855,7,-4.86,1,0.0264,0.00757,0,0.245,0.731,127.986,"7221xIgOnuakPdLqT0F3nP"
"2",0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,"629DixmZGHc7ILtEntuiWE"
"3",0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,"2qSkIjg1o9h3YT9RAgYN75"
"4",0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,"4IadxL6BUymXlh8RCJJu7T"
"5",0.722,0.709,9,-4.95,1,0.0273,0.0633,0,0.0804,0.604,81.012,"2FQrifJ1N335Ljm3TjTVVf"
"6",0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,"2OzhQlSqBEmt7hmkYxfT6m"
"7",0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,"7fzHQizxTqy8wTXwlrgPQQ"
"8",0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,"6tNQ70jh4OwmPGpYy6R2o9"
"9",0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,"46kspZSY3aKmwQe7O77fCC"
"10",0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,"1bjeWoagtHmUKputLVyDxQ"
"11",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,"6AI3ezQ4o3HUoP6Dhudph3"
"12",0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,"2GxrNKugF82CnoRFbQfzPf"
"13",0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,"17phhZDn6oGtzMe56NuWvj"
"14",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,"7BRD7x5pt8Lqa1eGYC4dzj"
"15",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,"0WbMK4wrZ1wFSty9F7FCgu"
"16",0.75,0.671,0,-6.753,1,0.0532,0.468,3.75e-06,0.108,0.738,114.902,"4NJqhmkGN042BrvHoMKUrJ"
"17",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,"3qhlB30KknSejmIvZZLjOD"
"18",0.701,0.751,0,-8.39,1,0.0502,0.123,0,0.15,0.22,129.994,"4q5YezDOIPcoLr8R81x9qy"
"19",0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.969,"5uQ7de4EWjb3rkcFxyEOpu"
"20",0.432,0.583,8,-4.682,1,0.0687,0.174,0,0.0933,0.544,181.489,"51eSHglvG1RJXtL3qI5trr"
"21",0.749,0.729,6,-3.19,0,0.0321,0.261,0,0.113,0.816,111.004,"3rUGC1vUpkDG9CZFHMur1t"
"22",0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,"0mflMxspEfB0VbI1kyLiAv"
"23",0.727,0.711,2,-6.549,1,0.078,0.582,0,0.158,0.375,110.012,"0Z7nGFVCLfixWctgePsRk9"
"24",0.673,0.722,3,-3.495,0,0.0755,0.0856,0,0.137,0.519,117.187,"5aIVCx5tnk0ntmdiinnYvw"
"25",0.791,0.694,6,-4.332,0,0.0335,0.0736,1.75e-06,0.0958,0.826,123.508,"2Zo1PcszsT9WQ0ANntJbID"
"26",0.565,0.593,8,-5.864,1,0.0883,0.0288,0,0.215,0.429,120.509,"3SAga35lAPYdjj3qyfEsCF"
"27",0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,"3Pbp7cUCx4d3OAkZSCoNvn"
"28",0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,"6XjDF6nds4DE2BBbagZol6"
"29",0.677,0.763,8,-4.701,0,0.0471,0.0235,2.04e-06,0.0894,0.719,126.962,"59xD5osEFsaNt5PXfIKUnX"
"30",0.787,0.775,1,-6.614,1,0.0548,0.19,6.54e-05,0.113,0.787,118.998,"7gaA3wERFkFkgivjwbSvkG"
"31",0.866,0.741,7,-4.66,1,0.245,0.0933,0,0.0297,0.614,135.07,"3lMzT16MjAKKXF7pSZn13B"
"32",0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,"4Na2HfNSr58chvfX69fy36"
"33",0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,"7CyPwkp0oE8Ro9Dd5CUDjW"
"34",0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,"4xhsWYTOGcal8zt0J161CU"
"35",0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,"5bi0gh89wRuH2OgjdAKFsb"
"36",0.58,0.777,3,-5.69,1,0.0655,0.104,0,0.342,0.589,108.005,"0LMwmV37RCmBO2so0szAFs"
"37",0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,"3Vr3zh0r7ALn8VLqCiRR10"
"38",0.538,0.661,7,-5.302,1,0.0321,0.398,0,0.243,0.419,159.617,"0S7lkKStHgfgjgwSFOvRNA"
"39",0.803,0.512,9,-6.871,0,0.066,0.128,0,0.0928,0.435,96.02,"57wp7VFnV8X0pSVnYArGeJ"
"40",0.786,0.854,10,-2.4,0,0.0741,0.169,2.39e-05,0.106,0.522,117.994,"0LZy30mVmxqUpdQmaXKXBd"
"41",0.681,0.714,1,-4.617,0,0.0309,0.0375,0,0.232,0.554,129.976,"331l3xABO0HMr1Kkyh2LZq"
"42",0.634,0.761,5,-4.752,1,0.0472,0.00537,0,0.549,0.785,129.963,"4pkb8SbRGeHAvdb87v9rpf"
"43",0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,"4KULAymBBJcPRpk1yO4dOG"
"44",0.583,0.676,6,-4.44,1,0.0298,0.0289,0.0634,0.121,0.134,77.002,"6dpLxbF7lfCAnC9QRTjNLK"
"45",0.68,0.581,8,-5.166,1,0.106,0.0181,1.07e-06,0.276,0.63,119.974,"6tNgRQ0K2NYZ0Rb9l9DzL8"
"46",0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,"52eIcoLUM25zbQupAZYoFh"
"47",0.726,0.652,10,-5.328,0,0.0779,0.00323,0.003,0.0905,0.625,97.032,"3QJsSWa0Xo8MfaRn1gr4Be"
"48",0.79,0.716,10,-3.446,0,0.0929,0.0297,1.87e-05,0.213,0.627,100.104,"0ve0CavjqrUqVmZ605RhTV"
"49",0.598,0.696,2,-4.789,1,0.112,0.0153,0,0.219,0.209,91.057,"3eh51r6rFWAlGQRlHx9QnQ"
"50",0.797,0.668,6,-5.819,1,0.0687,0.257,0,0.0876,0.69,131.067,"1aKvZDoLGkNMxoRYgkckZG"
